project_length_Days,project_length_Hours,project_length_Weeks,project_length_Months,issue_len_description,time_limit,have_changed,bounty_type_Bug,bounty_type_Code_Review,bounty_type_Design,bounty_type_Documentation,bounty_type_Feature,bounty_type_Improvement,bounty_type_Other,bounty_type_Project,bounty_type_Security,experience_level_Advanced,experience_level_Intermediate,experience_level_Beginner,bounty_num,bounty_change_num,bounty_amount,title_len,never_expires,owner_follwers,owner_following,owner_grants_contributed,issue_index,until_time,until_fulfilment
True,False,False,False,3,5,1,True,False,False,False,False,False,False,False,False,False,False,True,0,0,1.0,63,0,0,0,0,36,82,1
False,False,False,True,4070,-27,1,False,False,False,False,False,False,False,False,False,False,True,False,2,0,3000.0,32,0,117391,117281,495,419,33,1
False,False,False,True,4170,10,1,False,False,False,False,False,False,False,False,False,False,True,False,3,0,3000.0,75,0,117391,117281,495,430,70,1
False,False,False,True,3364,29,1,False,False,False,False,False,False,False,False,False,False,True,False,4,0,3000.0,20,0,117391,117281,495,339,90,1
False,False,False,True,3,0,1,False,False,False,False,False,False,False,False,False,False,True,False,18,0,3000.0,24,0,117391,117281,495,50,56,1
False,False,False,True,3,-97,1,False,False,False,False,False,False,False,False,False,False,True,False,19,0,3000.0,35,0,117391,117281,495,48,-26,1
False,False,False,True,3,333,1,False,False,False,False,False,False,False,False,False,False,True,False,0,0,3000.0,46,0,100,103,3,50,48,1
False,False,False,True,3,301,1,False,False,False,False,False,False,False,False,False,False,True,False,0,0,3000.0,30,0,100,103,3,13,15,1
False,False,False,True,3,7,1,False,False,False,False,False,False,False,False,False,False,True,False,20,0,3000.0,48,0,117391,117281,495,52,71,1
False,False,False,True,3,-62,1,False,False,False,False,False,False,True,False,False,False,True,False,21,0,3000.0,48,0,117391,117281,495,1,-62,0
False,False,False,True,3,2,1,False,False,False,False,False,False,False,False,False,False,True,False,22,0,3000.0,42,0,117391,117281,495,53,72,1
False,False,False,True,3,1,1,False,False,False,False,False,False,False,False,False,False,True,False,23,0,3000.0,53,0,117391,117281,495,54,87,1
False,False,False,True,3,-15,1,False,False,False,False,False,False,False,False,False,False,True,False,24,0,3000.0,68,0,117391,117281,495,2,55,1
False,False,False,True,3,360,1,False,False,False,False,False,False,False,False,False,False,True,False,0,0,3000.0,54,0,100,103,3,14,71,1
True,False,False,False,1259,-11,1,False,False,False,False,False,False,False,True,False,False,True,False,25,0,4001.0,23,0,117391,117281,495,3,58,1
False,False,False,True,4279,0,1,False,False,False,False,False,False,False,True,False,True,False,False,26,0,2999.27,36,0,117391,117281,495,4,68,1
False,False,False,True,3933,-1,1,False,False,False,False,False,False,False,False,False,False,True,False,27,0,3000.0,35,0,117391,117281,495,63,-1,0
False,False,False,True,3909,-3,1,False,False,False,False,False,False,False,False,False,False,True,False,28,0,3000.0,61,0,117391,117281,495,73,62,1
False,False,False,True,3880,6,1,False,False,False,False,False,False,False,False,False,False,True,False,29,0,3000.0,87,0,117391,117281,495,75,72,1
False,False,False,True,3901,2,1,False,False,False,False,False,False,False,False,False,False,True,False,30,0,3000.0,33,0,117391,117281,495,76,68,1
False,False,False,True,3903,28,1,False,False,False,False,False,False,False,False,False,False,True,False,0,0,3000.0,46,0,80,71,0,4,69,1
False,False,False,True,3906,-26,1,False,False,False,False,False,False,False,False,False,False,True,False,1,0,3000.0,25,0,80,71,0,9,37,1
False,True,False,False,209,1,1,False,False,False,False,False,False,False,True,False,False,True,False,31,0,200.0,41,0,117391,117281,495,2,62,1
